#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
liquidhydrogen                                    ([no block])                                                                     = Liquid Hydrogen
liquidoxygen                                      ([no block])                                                                     = Liquid Oxygen
liquidchlorine                                    ([no block])                                                                     = Liquid Chlorine
liquidsulfurdioxide                               ([no block])                                                                     = Liquid Sulfur Dioxide
liquidsulfurtrioxide                              ([no block])                                                                     = Liquid Sulfur Trioxide
sulfuricacid                                      ([no block])                                                                     = Sulfuric Acid
liquidhydrogenchloride                            ([no block])                                                                     = Liquid Hydrogen Chloride
liquidethene                                      ([no block])                                                                     = Liquid Ethylene
liquidsodium                                      ([no block])                                                                     = Liquid Sodium
brine                                             ([no block])                                                                     = Brine
liquiddeuterium                                   ([no block])                                                                     = Liquid Deuterium
liquidtritium                                     ([no block])                                                                     = Liquid Tritium
liquidfusionfuel                                  ([no block])                                                                     = Liquid D-T Fuel
liquidlithium                                     ([no block])                                                                     = Liquid Lithium
heavywater                                        ([no block])                                                                     = Heavy Water
steam                                             (railcraft:steam)                                                                = Steam
oil                                               (buildcraftenergy:fluid_block_oil_heat_0)                                        = Oil (§bCool§r)
oil_heat_1                                        (buildcraftenergy:fluid_block_oil_heat_1)                                        = Oil (§6Hot§r)
oil_heat_2                                        (buildcraftenergy:fluid_block_oil_heat_2)                                        = Oil (§cSearing§r)
oil_residue                                       (buildcraftenergy:fluid_block_oil_residue_heat_0)                                = Residue (§bCool§r)
oil_residue_heat_1                                (buildcraftenergy:fluid_block_oil_residue_heat_1)                                = Residue (§6Hot§r)
oil_residue_heat_2                                (buildcraftenergy:fluid_block_oil_residue_heat_2)                                = Residue (§cSearing§r)
oil_heavy                                         (buildcraftenergy:fluid_block_oil_heavy_heat_0)                                  = Heavy Oil (§bCool§r)
oil_heavy_heat_1                                  (buildcraftenergy:fluid_block_oil_heavy_heat_1)                                  = Heavy Oil (§6Hot§r)
oil_heavy_heat_2                                  (buildcraftenergy:fluid_block_oil_heavy_heat_2)                                  = Heavy Oil (§cSearing§r)
oil_dense                                         (buildcraftenergy:fluid_block_oil_dense_heat_0)                                  = Dense Oil (§bCool§r)
oil_dense_heat_1                                  (buildcraftenergy:fluid_block_oil_dense_heat_1)                                  = Dense Oil (§6Hot§r)
oil_dense_heat_2                                  (buildcraftenergy:fluid_block_oil_dense_heat_2)                                  = Dense Oil (§cSearing§r)
oil_distilled                                     (buildcraftenergy:fluid_block_oil_distilled_heat_0)                              = Distilled Oil (§bCool§r)
oil_distilled_heat_1                              (buildcraftenergy:fluid_block_oil_distilled_heat_1)                              = Distilled Oil (§6Hot§r)
oil_distilled_heat_2                              (buildcraftenergy:fluid_block_oil_distilled_heat_2)                              = Distilled Oil (§cSearing§r)
fuel_dense                                        (buildcraftenergy:fluid_block_fuel_dense_heat_0)                                 = Dense Fuel (§bCool§r)
fuel_dense_heat_1                                 (buildcraftenergy:fluid_block_fuel_dense_heat_1)                                 = Dense Fuel (§6Hot§r)
fuel_dense_heat_2                                 (buildcraftenergy:fluid_block_fuel_dense_heat_2)                                 = Dense Fuel (§cSearing§r)
fuel_mixed_heavy                                  (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_0)                           = Mixed Heavy Fuels (§bCool§r)
fuel_mixed_heavy_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_1)                           = Mixed Heavy Fuels (§6Hot§r)
fuel_mixed_heavy_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_2)                           = Mixed Heavy Fuels (§cSearing§r)
fuel_light                                        (buildcraftenergy:fluid_block_fuel_light_heat_0)                                 = Light Fuel (§bCool§r)
fuel_light_heat_1                                 (buildcraftenergy:fluid_block_fuel_light_heat_1)                                 = Light Fuel (§6Hot§r)
fuel_light_heat_2                                 (buildcraftenergy:fluid_block_fuel_light_heat_2)                                 = Light Fuel (§cSearing§r)
fuel_mixed_light                                  (buildcraftenergy:fluid_block_fuel_mixed_light_heat_0)                           = Mixed Light Fuels (§bCool§r)
fuel_mixed_light_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_1)                           = Mixed Light Fuels (§6Hot§r)
fuel_mixed_light_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_2)                           = Mixed Light Fuels (§cSearing§r)
fuel_gaseous                                      (buildcraftenergy:fluid_block_fuel_gaseous_heat_0)                               = Gaseous Fuel (§bCool§r)
fuel_gaseous_heat_1                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_1)                               = Gaseous Fuel (§6Hot§r)
fuel_gaseous_heat_2                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_2)                               = Gaseous Fuel (§cSearing§r)
ic2uu_matter                                      (ic2:uu_matter)                                                                  = UU-Matter
ic2construction_foam                              (ic2:construction_foam)                                                          = Construction Foam
ic2coolant                                        (ic2:coolant)                                                                    = IC2 Coolant
ic2creosote                                       (ic2:creosote)                                                                   = Creosote
ic2hot_coolant                                    (ic2:hot_coolant)                                                                = IC2 Hot Coolant
ic2pahoehoe_lava                                  (ic2:pahoehoe_lava)                                                              = Pahoehoe Lava
ic2biomass                                        (ic2:biomass)                                                                    = Biomass
ic2biogas                                         (ic2:biogas)                                                                     = Biogas
ic2distilled_water                                (ic2:distilled_water)                                                            = Distilled Water
ic2superheated_steam                              (ic2:superheated_steam)                                                          = Superheated Steam
ic2steam                                          (ic2:steam)                                                                      = Steam
ic2hot_water                                      (ic2:hot_water)                                                                  = Hotspring Water
ic2weed_ex                                        (ic2:weed_ex)                                                                    = Weed-Ex
ic2air                                            (ic2:air)                                                                        = Air
ic2hydrogen                                       (ic2:hydrogen)                                                                   = Hydrogen
ic2oxygen                                         (ic2:oxygen)                                                                     = Oxygen
ic2heavy_water                                    (ic2:heavy_water)                                                                = Heavy Water
ic2milk                                           (ic2:milk)                                                                       = Milk
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = Ethanol
biomass                                           (forestry:fluid.biomass)                                                         = Biomass
glass                                             (forestry:fluid.glass)                                                           = Liquid Glass
for.honey                                         (forestry:fluid.for.honey)                                                       = Honey
ice                                               (forestry:fluid.ice)                                                             = Crushed Ice
juice                                             (forestry:fluid.juice)                                                           = Fruit Juice
milk                                              (forestry:fluid.milk)                                                            = Milk
seed.oil                                          (forestry:fluid.seed.oil)                                                        = Seed Oil
short.mead                                        (forestry:fluid.short.mead)                                                      = Short Mead
creosote                                          (railcraft:creosote)                                                             = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          ([no block])                                                                     = Molten Platinum
iridium                                           ([no block])                                                                     = Molten Iridium
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          ([no block])                                                                     = Molten Signalum
lumium                                            ([no block])                                                                     = Molten Lumium
enderium                                          ([no block])                                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
knightmetal                                       (twilightforest:molten_knightmetal)                                              = Molten Knightmetal
fiery_essence                                     (twilightforest:fiery_essence)                                                   = Fiery Essence
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
concrete                                          (immersiveengineering:fluidconcrete)                                             = Liquid Concrete
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
essence                                           (industrialforegoing:essence)                                                    = Essence
meat                                              (industrialforegoing:meat)                                                       = Liquid Meat
latex                                             (industrialforegoing:latex)                                                      = Latex
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
molten_reinforced_pink_slime                      ([no block])                                                                     = Molten Reinforced Pink Slime
xpjuice                                           ([no block])                                                                     = Liquid XP
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Etching Acid
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = Liquid Plastic
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = LPG
fuel                                              (pneumaticcraft:fluid.fuel)                                                      = Gasoline
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = Kerosene
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
